date,ticker,is_defense,is_gold,is_bond,shares,close_prev,close_t,contribution,market_value,scenario
2023-04-17,512480.SH,False,False,False,313100,1.085000,1.074000,-0.002146,339713.500000,B0.4
2023-04-17,159996.SZ,False,False,False,239200,1.101000,1.129000,0.004174,263359.200000,B0.4
2023-04-18,515880.SH,False,False,False,909300,0.366217,0.378880,0.007265,333001.486424,B0.4
2023-04-18,515230.SH,False,False,False,300100,1.078000,1.085000,0.001325,323507.800000,B0.4
2023-04-18,512980.SH,False,False,False,373100,0.863000,0.870000,0.001648,321985.300000,B0.4
2023-04-18,512480.SH,False,False,False,313100,1.074000,1.049000,-0.004939,336269.400000,B0.4
2023-04-18,159996.SZ,False,False,False,239200,1.129000,1.140000,0.001660,270056.800000,B0.4
2023-04-19,515880.SH,False,False,False,909300,0.378880,0.373215,-0.003228,344515.641551,B0.4
2023-04-19,515230.SH,False,False,False,300100,1.085000,1.081000,-0.000752,325608.500000,B0.4
2023-04-19,512980.SH,False,False,False,373100,0.870000,0.871000,0.000234,324597.000000,B0.4
2023-04-19,512480.SH,False,False,False,313100,1.049000,1.053000,0.000785,328441.900000,B0.4
2023-04-19,159996.SZ,False,False,False,239200,1.140000,1.130000,-0.001499,272688.000000,B0.4
2023-04-20,515880.SH,False,False,False,909300,0.373215,0.390876,0.010108,339364.572152,B0.4
2023-04-20,515230.SH,False,False,False,300100,1.081000,1.111000,0.005667,324408.100000,B0.4
2023-04-20,512980.SH,False,False,False,373100,0.871000,0.922000,0.011977,324970.100000,B0.4
2023-04-20,512480.SH,False,False,False,313100,1.053000,1.084000,0.006109,329694.300000,B0.4
2023-04-20,159996.SZ,False,False,False,239200,1.130000,1.144000,0.002108,270296.000000,B0.4
2023-04-21,515880.SH,False,False,False,909300,0.390876,0.370883,-0.011106,355423.788513,B0.4
2023-04-21,512980.SH,False,False,False,373100,0.922000,0.876000,-0.010484,343998.200000,B0.4
2023-04-21,512480.SH,False,False,False,313100,1.084000,1.021000,-0.012050,339400.400000,B0.4
2023-04-21,159996.SZ,False,False,False,239200,1.144000,1.119000,-0.003653,273644.800000,B0.4
2023-04-21,512000.SH,False,False,False,698700,0.456000,0.438500,-0.007470,318607.200000,B0.4
2023-04-24,515880.SH,False,False,False,909300,0.370883,0.379213,0.004844,337243.543576,B0.4
2023-04-24,512980.SH,False,False,False,373100,0.876000,0.909000,0.007874,326835.600000,B0.4
2023-04-24,512480.SH,False,False,False,313100,1.021000,0.993000,-0.005607,319675.100000,B0.4
2023-04-24,159996.SZ,False,False,False,239200,1.119000,1.106000,-0.001989,267664.800000,B0.4
2023-04-24,512000.SH,False,False,False,698700,0.438500,0.431000,-0.003351,306379.950000,B0.4
2023-04-25,515880.SH,False,False,False,909300,0.379213,0.364551,-0.008511,344818.645633,B0.4
2023-04-25,512980.SH,False,False,False,373100,0.909000,0.933000,0.005716,339147.900000,B0.4
2023-04-25,512480.SH,False,False,False,313100,0.993000,0.970000,-0.004597,310908.300000,B0.4
2023-04-25,159996.SZ,False,False,False,239200,1.106000,1.104000,-0.000305,264555.200000,B0.4
2023-04-25,512000.SH,False,False,False,698700,0.431000,0.433000,0.000892,301139.700000,B0.4
2023-04-26,515880.SH,False,False,False,909300,0.364551,0.351555,-0.007596,331486.466013,B0.4
2023-04-26,512980.SH,False,False,False,373100,0.933000,0.922000,-0.002638,348102.300000,B0.4
2023-04-26,512480.SH,False,False,False,313100,0.970000,0.943000,-0.005434,303707.000000,B0.4
2023-04-26,159996.SZ,False,False,False,239200,1.104000,1.098000,-0.000922,264076.800000,B0.4
2023-04-26,512000.SH,False,False,False,698700,0.433000,0.432000,-0.000449,302537.100000,B0.4
2023-04-27,515880.SH,False,False,False,909300,0.351555,0.344224,-0.004359,319669.306804,B0.4
2023-04-27,512980.SH,False,False,False,373100,0.922000,0.880000,-0.010247,343998.200000,B0.4
2023-04-27,512480.SH,False,False,False,313100,0.943000,0.945000,0.000409,295253.300000,B0.4
2023-04-27,159996.SZ,False,False,False,239200,1.098000,1.101000,0.000469,262641.600000,B0.4
2023-04-27,512000.SH,False,False,False,698700,0.432000,0.435500,0.001599,301838.400000,B0.4
2023-04-28,512980.SH,False,False,False,373100,0.880000,0.961000,0.020058,328328.000000,B0.4
2023-04-28,512800.SH,False,False,False,560000,0.542805,0.547808,0.001859,303970.962296,B0.4
2023-04-28,511010.SH,True,False,True,2300,127.402000,127.459000,0.000087,293024.600000,B0.4
2023-04-28,518880.SH,True,True,False,70100,4.333000,4.298000,-0.001628,303743.300000,B0.4
2023-05-04,512980.SH,False,False,False,373100,0.961000,1.019000,0.014076,358549.100000,B0.4
2023-05-04,512800.SH,False,False,False,560000,0.547808,0.563817,0.005831,306772.537985,B0.4
2023-05-04,511010.SH,True,False,True,2300,127.459000,127.571000,0.000168,293155.700000,B0.4
2023-05-04,518880.SH,True,True,False,70100,4.298000,4.395000,0.004423,301289.800000,B0.4
2023-05-05,512800.SH,False,False,False,560000,0.563817,0.568820,0.001796,315737.580191,B0.4
2023-05-05,511010.SH,True,False,True,2300,127.571000,127.803000,0.000342,293413.300000,B0.4
2023-05-08,512800.SH,False,False,False,560000,0.568820,0.592833,0.008605,318539.155881,B0.4
2023-05-08,511010.SH,True,False,True,2300,127.803000,127.739000,-0.000094,293946.900000,B0.4
2023-05-09,512800.SH,False,False,False,560000,0.592833,0.585829,-0.002488,331986.719190,B0.4
2023-05-09,511010.SH,True,False,True,2300,127.739000,127.787000,0.000070,293799.700000,B0.4
2023-05-10,512800.SH,False,False,False,560000,0.585829,0.569820,-0.005702,328064.513225,B0.4
2023-05-10,511010.SH,True,False,True,2300,127.787000,127.957000,0.000249,293910.100000,B0.4
2023-05-11,512800.SH,False,False,False,560000,0.569820,0.566819,-0.001075,319099.471019,B0.4
2023-05-11,511010.SH,True,False,True,2300,127.957000,128.135000,0.000262,294301.100000,B0.4
2023-05-12,512800.SH,False,False,False,560000,0.566819,0.560815,-0.002144,317418.525605,B0.4
2023-05-12,511010.SH,True,False,True,2300,128.135000,128.064000,-0.000104,294710.500000,B0.4
2023-05-12,512980.SH,False,False,False,330300,0.966000,0.917000,-0.010322,319069.800000,B0.4
2023-05-12,518880.SH,True,True,False,71000,4.394000,4.365000,-0.001313,311974.000000,B0.4
2023-05-15,512800.SH,False,False,False,560000,0.560815,0.567819,0.002537,314056.634778,B0.4
2023-05-15,511010.SH,True,False,True,2300,128.064000,128.134000,0.000104,294547.200000,B0.4
2023-05-15,512980.SH,False,False,False,330300,0.917000,0.902000,-0.003204,302885.100000,B0.4
2023-05-15,518880.SH,True,True,False,71000,4.365000,4.382000,0.000781,309915.000000,B0.4
2023-05-16,512800.SH,False,False,False,560000,0.567819,0.565818,-0.000725,317978.840743,B0.4
2023-05-16,511010.SH,True,False,True,2300,128.134000,128.064000,-0.000104,294708.200000,B0.4
2023-05-16,512980.SH,False,False,False,330300,0.902000,0.866000,-0.007689,297930.600000,B0.4
2023-05-16,518880.SH,True,True,False,71000,4.382000,4.369000,-0.000597,311122.000000,B0.4
2023-05-17,512800.SH,False,False,False,560000,0.565818,0.561816,-0.001463,316858.210467,B0.4
2023-05-17,511010.SH,True,False,True,2300,128.064000,128.052000,-0.000018,294547.200000,B0.4
2023-05-17,512980.SH,False,False,False,330300,0.866000,0.872000,0.001293,286039.800000,B0.4
2023-05-17,518880.SH,True,True,False,71000,4.369000,4.353000,-0.000741,310199.000000,B0.4
2023-05-18,512800.SH,False,False,False,560000,0.561816,0.568320,0.002389,314616.949916,B0.4
2023-05-18,511010.SH,True,False,True,2300,128.052000,128.012000,-0.000060,294519.600000,B0.4
2023-05-18,518880.SH,True,True,False,71000,4.353000,4.345000,-0.000373,309063.000000,B0.4
2023-05-19,512800.SH,False,False,False,560000,0.568320,0.559315,-0.003305,318258.998312,B0.4
2023-05-19,511010.SH,True,False,True,2300,128.012000,128.098000,0.000130,294427.600000,B0.4
2023-05-19,518880.SH,True,True,False,71000,4.345000,4.330000,-0.000698,308495.000000,B0.4
2023-05-19,512000.SH,False,False,False,672500,0.451000,0.444500,-0.002865,303297.500000,B0.4
2023-05-22,512800.SH,False,False,False,560000,0.559315,0.560815,0.000555,313216.162071,B0.4
2023-05-22,511010.SH,True,False,True,2300,128.098000,128.259000,0.000244,294625.400000,B0.4
2023-05-22,518880.SH,True,True,False,71000,4.330000,4.347000,0.000796,307430.000000,B0.4
2023-05-22,512000.SH,False,False,False,672500,0.444500,0.443500,-0.000444,298926.250000,B0.4
2023-05-23,512800.SH,False,False,False,560000,0.560815,0.550810,-0.003693,314056.634778,B0.4
2023-05-23,511010.SH,True,False,True,2300,128.259000,128.584000,0.000493,294995.700000,B0.4
2023-05-23,518880.SH,True,True,False,71000,4.347000,4.330000,-0.000795,308637.000000,B0.4
2023-05-23,512000.SH,False,False,False,672500,0.443500,0.437000,-0.002881,298253.750000,B0.4
2023-05-24,512800.SH,False,False,False,560000,0.550810,0.539804,-0.004090,308453.483399,B0.4
2023-05-24,511010.SH,True,False,True,2300,128.584000,128.507000,-0.000118,295743.200000,B0.4
2023-05-24,518880.SH,True,True,False,71000,4.330000,4.352000,0.001037,307430.000000,B0.4
2023-05-24,512000.SH,False,False,False,672500,0.437000,0.431000,-0.002678,293882.500000,B0.4
2023-05-25,512800.SH,False,False,False,560000,0.539804,0.537802,-0.000748,302290.016882,B0.4
2023-05-25,511010.SH,True,False,True,2300,128.507000,128.344000,-0.000250,295566.100000,B0.4
2023-05-25,518880.SH,True,True,False,71000,4.352000,4.335000,-0.000806,308992.000000,B0.4
2023-05-25,512000.SH,False,False,False,672500,0.431000,0.431500,0.000224,289847.500000,B0.4
2023-05-26,511010.SH,True,False,True,2300,128.344000,128.338000,-0.000009,295191.200000,B0.4
2023-05-29,511010.SH,True,False,True,2300,128.338000,128.368000,0.000046,295177.400000,B0.4
2023-05-30,511010.SH,True,False,True,2300,128.368000,128.474000,0.000163,295246.400000,B0.4
2023-05-31,511010.SH,True,False,True,2300,128.474000,128.542000,0.000105,295490.200000,B0.4
2023-06-01,511010.SH,True,False,True,2300,128.542000,128.650000,0.000166,295646.600000,B0.4
