date,year,ret_a,ret_c,diff_ret,ind_pct_a,def_pct_a,ind_pct_c,def_pct_c,n_ind_a,n_ind_c,n_def_a,n_def_c,has_5th_a,has_5th_c,has_def_c,regime_name
2021-08-11,2021,-0.0016653959077048697,-0.0009074346609049266,0.000757961246799943,0.9999310817404701,0.0,0.8094593271792039,0.16279752189482882,5,4,0,1,True,False,True,熊市
2021-08-12,2021,0.007522907936427847,-0.0007653889345314857,-0.008288296870959333,0.9999071714721552,0.0,0.8220437216332557,0.0,5,4,0,0,True,False,False,熊市
2021-08-13,2021,-0.008156991408914571,-0.0033055374165935625,0.004851453992321009,0.999906408043369,0.0,0.8214535295947303,0.0,5,4,0,0,True,False,False,熊市
2021-08-16,2021,-0.021424367499578656,-0.018400402186885767,0.003023965312692889,0.9999043589953371,0.0,0.8181066182147488,0.0,5,4,0,0,True,False,False,熊市
2021-08-17,2021,-0.01809332257758256,-0.012583058325836949,0.005510264251745611,0.9999025966450152,0.0,0.8157886763854271,0.0,5,4,0,0,True,False,False,熊市
2021-08-18,2021,0.004784352287563021,0.005683848500948052,0.0008994962133850315,0.9999030604380302,0.0,0.8168297881196416,0.0,5,4,0,0,True,False,False,熊市
2021-08-19,2021,-0.00213824818954933,-0.002081398112406707,5.68500771426228e-05,0.42571832123128883,0.1939043148309817,0.4251365842323453,0.19552932889973287,2,2,1,1,False,False,True,熊市
2021-08-20,2021,-0.0003776780771409527,-0.000374931102431475,2.746974709477712e-06,0.42537774464083766,0.19410117695222845,0.4247963326786026,0.19572730296183963,2,2,1,1,False,False,True,熊市
2021-08-23,2021,0.010481187377264778,0.01045487021954905,-2.631715771572729e-05,0.43145404386796815,0.19197182178858296,0.4308648121265725,0.19358515041642937,2,2,1,1,False,False,True,熊市
2021-08-24,2021,0.0024970101079873075,0.0024997167597231584,2.70665173585094e-06,0.4329515156617874,0.19141231730078165,0.4323659677385815,0.19302042272260497,2,2,1,1,False,False,True,熊市
2021-08-25,2021,-0.005135104675108471,-0.005128649244914074,6.455430194396428e-06,0.4299538762675152,0.1924710692676674,0.4293684142186068,0.19408681016343027,2,2,1,1,False,False,True,熊市
2021-08-26,2021,-0.009729627333458613,-0.004382183288251129,0.005347444045207483,0.9999217827737636,0.0,0.8286617686871168,0.1679345881534756,5,4,0,1,True,False,True,熊市
2021-08-27,2021,0.008306342347418783,0.002245124825023037,-0.006061217522395745,0.9999224271206564,0.0,0.8289934355434746,0.16761054578294798,5,4,0,1,True,False,True,熊市
2021-08-30,2021,0.007956017952785555,0.006084204764756684,-0.0018718131880288702,0.9999230394204093,0.0,0.8299662027788863,0.16665831566848216,5,4,0,1,True,False,True,熊市
2021-08-31,2021,0.011112289021979027,0.012325470188800258,0.0012131811668212311,0.9999238852297353,0.0,0.831803334697885,0.16486228159644592,5,4,0,1,True,False,True,熊市
2021-09-01,2021,-0.012967868103059499,-0.011063675449010546,0.0019041926540489529,0.9999228852153795,0.0,0.8298303580514733,0.16679795499266184,5,4,0,1,True,False,True,熊市
2021-09-02,2021,0.008444271993850672,0.0120144489721985,0.0035701769783478277,0.6005307284162057,0.1962311721732858,0.6088538612996929,0.19619905758293157,3,3,1,1,False,False,True,熊市
2021-09-03,2021,-0.016138704794014247,-0.01646483836851842,-0.0003261335745041727,0.5939780601897146,0.1994500374488275,0.6023058920928902,0.1994835215219737,3,3,1,1,False,False,True,熊市
2021-09-06,2021,0.0120863842878427,0.012168994598720229,8.26103108775289e-05,0.5977043548589007,0.19819063437483664,0.6059647096032995,0.19820772855390983,3,3,1,1,False,False,True,熊市
2021-09-07,2021,0.013937550765763973,0.014108962213096987,0.00017141144733301417,0.603866874050575,0.19483373565451487,0.6120793168236351,0.1948176053616943,3,3,1,1,False,False,True,熊市
